TIME,TRACE_ID,SRC_ID,DST_ID,BFT_ID,ANTENNA_ID,SECTOR_ID,ROLE,BSS_ID,SINR_DB
3209415,0,0,1,0,0,36,1,0,61.2213
3209423,0,1,0,0,0,36,0,0,61.221
1028467750,10,0,1,1,0,0,1,0,64.3506
1028467761,10,1,0,1,0,18,0,0,64.3677
2052464183,20,0,1,2,0,0,1,0,64.9047
2052464197,20,1,0,2,0,36,0,0,64.899
3076513878,30,0,1,3,0,36,1,0,64.3935
3076513895,30,1,0,3,0,36,0,0,64.4059
4100882364,41,0,1,4,0,18,1,0,64.1663
4100882385,41,1,0,4,0,0,0,0,64.1937
5124492711,51,0,1,5,0,36,1,0,63.3238
5124492735,51,1,0,5,0,18,0,0,63.0574
6148478877,61,0,1,6,0,0,1,0,59.8042
6148478902,61,1,0,6,0,36,0,0,59.8883
7172514214,71,0,1,7,0,1,1,0,51.0861
7172514240,71,1,0,7,0,35,0,0,51.2268
8196487814,81,0,1,8,0,16,1,0,48.0143
8196487841,81,1,0,8,0,34,0,0,47.7659
9220467818,92,0,1,9,0,2,1,0,44.8028
9220467846,92,1,0,9,0,33,0,0,45.3087
10245106148,102,0,1,10,0,2,1,0,37.4248
10245106178,102,1,0,10,0,33,0,0,36.0897
11268797660,112,0,1,11,0,4,1,0,43.7789
11268797691,112,1,0,11,0,32,0,0,43.2061
12292502676,122,0,1,12,0,4,1,0,43.2295
12292502710,122,1,0,12,0,22,0,0,43.5587
13316511674,133,0,1,13,0,3,1,0,27.4701
13316511713,133,1,0,13,0,33,0,0,27.4698
14340726547,143,0,1,14,0,4,1,0,30.2969
14340726595,143,1,0,14,0,32,0,0,30.2969
15364475092,153,0,1,15,0,14,1,0,30.2087
15364475142,153,1,0,15,0,32,0,0,30.2087
16388463746,163,0,1,16,0,14,1,0,27.6238
16388463798,163,1,0,16,0,22,0,0,27.6238
